,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,111,53.745983520070894,1.0,0.43033516342699013,112.58892539993944,10.0,0.741844154788606,315.12818228654805,1.5,0.6138666672232772,226.25061340033017,1.5,0.025130784548682245,288.94325022389023,1.5,0.2638840603486273,3.5,2.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,10,0,dikesnet,177198159.8683943,0.0,200400360.3018761,7.395320368565156e-05,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,34.124589046611746
1,107,169.2958430604084,1.5,0.532877959481584,342.52904675411685,10.0,0.12664937724694997,77.00046673385259,10.0,0.07331449718325465,336.37121402752337,1.5,0.3843379540704501,321.54120239468307,10.0,0.666697691919244,1.5,4.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,11,0,dikesnet,177198159.8683943,0.0,261657253.4918658,0.005073239671246872,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,2609.872895018373
2,43,77.30053967496085,10.0,0.22948415831009236,103.48332871884965,1.5,0.69798580810994,237.29279400561072,1.0,0.6627062675131212,315.55947973105765,1.5,0.5252492850325802,38.30148385901518,1.0,0.9122457424093231,1.5,4.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,12,0,dikesnet,177198159.8683943,0.0,202397155.3864506,0.00022039706298620634,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,101.67283424447322
3,65,150.63349576350964,10.0,0.2710689620272986,185.28308714698173,10.0,0.0649011785462998,48.25578119652363,1.5,0.16001599316938003,161.49209151194665,1.0,0.8720365504996092,220.7321760375047,10.0,0.5103349218918034,2.5,3.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,13,0,dikesnet,177198159.8683943,0.0,322222085.79280674,0.012511572651802215,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,6790.7114612332925
4,130,40.04109148035104,1.0,0.12020401855953645,229.83271389623084,10.0,0.8808074073499705,297.24399945574817,10.0,0.8282535048834022,120.49524400047078,10.0,0.6025234644541997,270.6589364746344,10.0,0.714615787208483,4.5,4.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,14,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
5,95,33.66825437612497,10.0,0.799070940872404,120.84355446053766,1.0,0.0045317001198392345,305.67181281482374,1.5,0.7681702988298188,94.5611357491054,10.0,0.6418624403614976,133.4647100936076,1.5,0.7531775516751953,4.5,2.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,15,0,dikesnet,177198159.8683943,0.0,487268289.7045147,0.03919292155341609,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,22893.561363122695
6,74,190.51363363142747,10.0,0.194912138762109,302.65509989345793,1.5,0.9422984337976827,93.23057636475986,1.5,0.14574757575580646,49.05641926566436,1.0,0.1596181609294546,304.1101022667584,10.0,0.7696321657918181,4.5,2.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,16,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
7,38,309.0969877202502,1.5,0.5970582505177917,94.59258867746357,1.0,0.7762968833280248,219.3106390283289,1.0,0.8089801288233618,104.4387640337018,10.0,0.7843921158730677,74.66550283377043,1.5,0.4511350335862231,4.5,1.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,17,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
8,122,176.22050871101266,1.5,0.35930298134889455,251.27625661530428,1.5,0.46235178646308567,117.80093830794772,1.5,0.25324715042617146,66.82554780207857,1.5,0.8867389340384497,98.34024752043794,1.0,0.5534901823382063,2.5,1.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,18,0,dikesnet,177198159.8683943,0.0,205120157.39535087,0.0005845864559824328,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,276.18570700323687
9,96,61.92986736322146,1.0,0.11922612306121778,135.7715907604595,1.0,0.32666978379747913,71.00963728218672,1.0,0.42837299749830077,55.09613090048287,1.5,0.540235265177114,171.3785298154622,1.5,0.1367822438058687,3.5,2.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,19,0,dikesnet,177198159.8683943,0.0,208571369.99060586,0.001209524903017233,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,576.2068007260164
